ts,t_s,step,latency_ms,throughput_rps,error_rate,sequence
2025-11-12 14:39:13.807249,0.0,search,138.38715069278012,58.075481296428364,0.0,search-filter-paginate
2025-11-12 14:39:14.817350,1.0101010101010102,search,142.32874191748206,55.86878997659268,0.0,search-filter-paginate
2025-11-12 14:39:15.827451,2.0202020202020203,search,148.7097602539821,54.89202116055605,0.0,search-filter-paginate
2025-11-12 14:39:16.837552,3.0303030303030303,search,132.20146250575596,55.15775281164381,0.0,search-filter-paginate
2025-11-12 14:39:17.847653,4.040404040404041,search,138.06110112651066,54.06645316114501,0.0,search-filter-paginate
2025-11-12 14:39:18.857754,5.050505050505051,search,144.33607268957059,54.9558221564956,0.0,search-filter-paginate
2025-11-12 14:39:19.867855,6.0606060606060606,search,134.50683756811685,58.27418348878848,0.0,search-filter-paginate
2025-11-12 14:39:20.877956,7.070707070707071,search,138.80234032993863,52.27080921512034,0.0,search-filter-paginate
2025-11-12 14:39:21.888057,8.080808080808081,search,129.59900166317024,52.89586375360631,0.0,search-filter-paginate
2025-11-12 14:39:22.898158,9.090909090909092,search,145.19547886415825,52.31138728253624,0.0,search-filter-paginate
2025-11-12 14:39:23.908259,10.101010101010102,search,144.92864743997438,56.480995794315334,0.0,search-filter-paginate
2025-11-12 14:39:24.918360,11.111111111111112,search,135.20807560688556,50.59264274324464,0.0,search-filter-paginate
2025-11-12 14:39:25.928461,12.121212121212121,search,136.39536950854654,52.45176760023872,0.0,search-filter-paginate
2025-11-12 14:39:26.938562,13.131313131313131,search,144.2634769110754,58.57517664433489,0.0,search-filter-paginate
2025-11-12 14:39:27.948663,14.141414141414142,search,138.7853142852861,57.10670618967115,0.0,search-filter-paginate
2025-11-12 14:39:28.958764,15.151515151515152,search,149.44449786874262,56.84563405850137,0.0,search-filter-paginate
2025-11-12 14:39:29.968865,16.161616161616163,search,136.32897811101742,59.43266374134399,0.0,search-filter-paginate
2025-11-12 14:39:30.978966,17.171717171717173,search,137.24347470473663,59.0987799442029,0.0,search-filter-paginate
2025-11-12 14:39:31.989067,18.181818181818183,search,142.7880704871739,54.00499165419858,0.0,search-filter-paginate
2025-11-12 14:39:32.999168,19.191919191919194,search,143.99760428349074,55.58702472228751,0.0,search-filter-paginate
