sequence,len,coherence,sense_index,phi_s,grad_phi,k_phi,xi_c,phase_sync,epi_mag,hash
RA -> THOL -> UM -> NAV,4,0.0,0.0,0.0,-0.2940294087865558,-0.03329750707377457,0.10208345004997788,0.08576753762566403,0.0,7d59e14ded2aaacd
VAL -> NUL -> EN -> SHA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
NUL -> REMESH,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
REMESH,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
THOL -> OZ -> NAV -> EN -> AL -> OZ,6,0.06259209330886806,-0.023545328232373763,0.1252584494720559,0.0,0.0,0.0,0.0,0.002442067070465903,2c8b5daacbc7c638
EN -> OZ,2,0.09197820742502072,-0.010888308054265217,0.061966095961930256,0.0,0.0,0.0,0.0,0.0,d7f7957330657895
SHA -> UM -> VAL -> REMESH,4,0.0,0.0,0.0,-0.14688902014238292,-0.05182185143036859,0.046593426041317776,0.06691130780828591,0.0,f8a40429099d3604
AL -> RA -> OZ,3,0.021978489335488183,-0.012011743969307265,0.06294943712340506,0.0,0.0,0.0,0.0,-0.0019908299612938496,c2ce3ff8f4815945
UM -> NAV -> ZHIR -> ZHIR -> NAV,5,0.0,0.0,0.0,-0.17508357575952394,0.09587445783950098,0.05647137158707449,0.022454192027715925,0.0,b28bc92eaab7ee23
ZHIR -> IL -> OZ,3,0.08869126436738795,-0.005175859583338327,0.049888795658500906,0.0,0.0,0.0,0.0,0.0,369726daa8653c13
VAL -> SHA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
REMESH -> NAV -> NUL -> OZ -> ZHIR -> REMESH,6,0.05402479480091671,-0.012773207027926059,0.07641405657734457,0.0,0.0,0.0,0.0,0.0,de5e352e40e8b925
OZ,1,0.058460006190292124,-0.011039688066624365,0.06609137095882833,0.0,0.0,0.0,0.0,0.0,381accc1f7f168e4
AL -> SHA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02048702888369225,8ea4c40127207dd7
NAV -> OZ -> THOL -> NAV -> RA -> OZ,6,0.061588898922396385,-0.020138461461491786,0.09722857235609217,0.0,0.0,0.0,0.0,0.0,bc19c6738386ab20
VAL -> SHA -> ZHIR -> SHA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
UM -> OZ,2,0.019315823097441287,-0.00835770378550904,0.03766800808013282,-0.18555768632696124,-0.0463346749057389,0.060226196623691886,0.1143274750058253,0.0,e8942ed6d701aa3e
REMESH -> NUL -> NUL -> UM -> SHA,5,0.0,0.0,0.0,-0.139219246976237,0.036014158464389205,0.043962640455345925,0.11615682543698014,0.0,31e2927ad51bfc90
SHA -> RA -> OZ -> IL -> NUL -> VAL -> EN -> NAV,8,0.06220030525729581,-0.006141423229040988,0.060232300927477445,0.0,0.0,0.0,0.0,0.0,ac8ffcb4f7724615
IL -> ZHIR -> OZ,3,-0.014326153696831767,-0.0031117819708611494,0.023033086487436072,0.0,0.0,0.0,0.0,0.0,8d2770221163e72c
SHA -> THOL -> EN -> SHA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
THOL -> VAL -> NUL -> UM -> NUL -> AL -> NAV,7,0.0,0.0,0.0,-0.2833574862530994,-0.013979462510544813,0.09770835611720263,0.06755267765859796,0.0011020329794799721,207b44538e8e5026
REMESH -> RA -> EN -> REMESH,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
IL -> VAL -> NAV,3,-0.003308500909378731,0.007675908824197442,-0.03610479886340534,0.0,0.0,0.0,0.0,0.0,c6bdcb495685e68a
NAV -> UM -> OZ,3,0.00020957052301717738,-0.012021617550524888,0.06647488361548204,-0.17655113928934263,-0.01989744344486729,0.05699464236358209,0.09962396616665703,0.0,2a74762c76540afc
EN -> ZHIR -> UM -> ZHIR -> NUL -> OZ,6,-0.017237116420754983,-0.008838590353434705,0.036354752740407115,-0.2739227607077628,0.02468445134036628,0.09388979546454312,0.06615204809074848,0.0,d1922c3338c381c3
RA -> REMESH -> IL -> NAV,4,0.03447798084637366,0.01036759080331795,-0.05427170397820169,0.0,0.0,0.0,0.0,0.0,ef06024a1f666095
AL -> VAL -> AL -> EN -> RA -> REMESH,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008318223418577464,0f1e3c0224eef7bd
AL -> OZ,2,0.06292579418275313,-0.013440110755355117,0.07845422911787714,0.0,0.0,0.0,0.0,0.02425569500725855,946947c307c6bd2e
NAV,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
EN -> REMESH -> NUL -> REMESH -> IL -> IL -> SHA,7,0.05728942933486436,0.018761050316447814,-0.09122114868856956,0.0,0.0,0.0,0.0,0.0,2aba0f118ec63603
IL -> UM -> NUL -> THOL -> SHA,5,0.019424649652568293,0.008096263744804766,-0.03703345303844163,-0.4120386349200642,0.007146436319157462,0.15479074269329007,0.08861878457005412,0.0,9e62c43708c44bb1
NUL -> OZ,2,0.03382109733951366,-0.009290202766435107,0.045025749056915254,0.0,0.0,0.0,0.0,0.0,fc68ccf51c4649bc
UM -> SHA -> ZHIR -> ZHIR -> RA -> VAL -> NUL -> VAL -> NAV,9,0.0,0.0,0.0,-0.117470054310717,0.011925496809744853,0.036629154183130175,0.11664539150423103,0.0,d3764b1f8bb6c6fe
OZ -> EN -> RA -> NAV,4,0.028445505576845664,-0.011280524166027428,0.055713372160258956,0.0,0.0,0.0,0.0,0.0,4f32294df4cfcdb8
NUL -> OZ -> THOL -> OZ,4,0.0631983557638861,-0.022209126599979312,0.12361822956351609,0.0,0.0,0.0,0.0,0.0,07a1f9b1177d6434
EN -> NAV,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
RA -> EN -> NUL -> OZ,4,-0.030616285141535804,-0.010333930836550875,0.05179751563877455,0.0,0.0,0.0,0.0,0.0,4d12fbcc69a9234a
ZHIR -> VAL -> OZ -> NUL -> IL -> SHA,6,0.08320103532668177,-0.0034275364235384354,0.046954120257283294,0.0,0.0,0.0,0.0,0.0,e27ffefd8b3b483a
REMESH -> VAL -> REMESH,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
EN -> ZHIR -> SHA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
AL -> SHA -> VAL -> NAV,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010165358427375537,d1fe17032475bbb6
ZHIR -> EN -> AL -> SHA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007571619106746308,3d9742db74ad79de
RA -> REMESH -> EN -> OZ -> OZ -> OZ -> NUL -> VAL -> OZ,9,0.013788606623162836,-0.04468278119649649,0.23803053138843977,0.0,0.0,0.0,0.0,0.0,c825bb887eb4a173
NAV -> UM -> SHA,3,0.0,0.0,0.0,-0.24965452330144755,-0.034016648620761494,0.08427438567703349,0.08879386592197558,0.0,69c3311cb7237d5b
EN -> SHA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
EN -> AL -> ZHIR -> NAV,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005107615276975341,dc0a0348487378ea
SHA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab1bda9bd200fc88
AL -> OZ -> SHA -> AL -> OZ,5,0.035519250638921585,-0.024918912536382676,0.15948452920942613,0.0,0.0,0.0,0.0,0.0066269776727290175,d20fffe65721efe6
AL -> SHA -> UM -> REMESH -> REMESH,5,0.0,0.0,0.0,-0.48706710138376597,-0.06518353756213871,0.19304568484667062,0.07059342412262237,0.00047571564922299636,e9c20baf14b26a37
UM -> SHA -> NAV -> NAV -> REMESH,5,0.0,0.0,0.0,-0.2454732828539843,-0.0185690074550876,0.08264708523015896,0.16301841183999488,0.0,4ff1cdc4bed3de38
