ts,t_s,step,latency_ms,throughput_rps,error_rate,sequence
2025-11-12 14:39:14.731106,0.0,call,112.69965996401052,70.24965843668998,0.0,retry-on-error
2025-11-12 14:39:15.748055,1.0169491525423728,call,110.6419484832593,70.98724516472396,0.0,retry-on-error
2025-11-12 14:39:16.765004,2.0338983050847457,call,100.68787736483779,69.14739653436538,0.0,retry-on-error
2025-11-12 14:39:17.781953,3.0508474576271185,call,113.40350634080744,70.82460928862682,0.0,retry-on-error
2025-11-12 14:39:18.798903,4.067796610169491,call,121.84227333051213,68.27726122024872,0.0,retry-on-error
2025-11-12 14:39:19.815852,5.084745762711864,call,120.69859134664017,69.4225285744323,0.0,retry-on-error
2025-11-12 14:39:20.832801,6.101694915254237,call,113.08980028723373,75.29140282839158,0.0,retry-on-error
2025-11-12 14:39:21.849750,7.11864406779661,call,108.97589091177134,68.7563235093509,0.0,retry-on-error
2025-11-12 14:39:22.866699,8.135593220338983,call,103.88110792030481,67.18692574575945,0.0,retry-on-error
2025-11-12 14:39:23.883648,9.152542372881356,call,117.92085366808662,70.19242061748466,0.0,retry-on-error
2025-11-12 14:39:24.900598,10.169491525423728,call,102.21463077938314,68.45401528743676,0.0,retry-on-error
2025-11-12 14:39:25.917547,11.1864406779661,call,102.76063391331928,71.23746567005684,0.0,retry-on-error
2025-11-12 14:39:26.934496,12.203389830508474,call,108.15635607250859,69.98332153517666,0.0,retry-on-error
2025-11-12 14:39:27.951445,13.220338983050848,call,112.07179300978073,69.47124487902516,0.0,retry-on-error
2025-11-12 14:39:28.968394,14.23728813559322,call,109.3179438439177,70.3773268622925,0.0,retry-on-error
2025-11-12 14:39:29.985343,15.254237288135592,call,117.42438018358925,70.85030055857385,0.0,retry-on-error
2025-11-12 14:39:31.002292,16.271186440677965,call,111.61225526320317,65.93226029728758,0.0,retry-on-error
2025-11-12 14:39:32.019242,17.28813559322034,call,114.69162021099642,74.9827527613896,0.0,retry-on-error
2025-11-12 14:39:33.036191,18.305084745762713,call,107.08489779367319,71.77855953619729,0.0,retry-on-error
2025-11-12 14:39:34.053140,19.322033898305083,call,108.44669660381754,69.84251548935784,0.0,retry-on-error
2025-11-12 14:39:35.070089,20.338983050847457,call,108.1081960254418,70.32493933375089,0.0,retry-on-error
2025-11-12 14:39:36.087038,21.35593220338983,call,108.76721277448742,69.99581356285466,0.0,retry-on-error
2025-11-12 14:39:37.103987,22.3728813559322,call,108.37645609411959,70.54530150992521,0.0,retry-on-error
2025-11-12 14:39:38.120937,23.389830508474574,call,114.17581545634096,68.85097861341161,0.0,retry-on-error
2025-11-12 14:39:39.137886,24.406779661016948,call,106.25335542554649,70.61820531202514,0.0,retry-on-error
2025-11-12 14:39:40.154835,25.423728813559322,call,106.73310596239968,75.40729170408146,0.0,retry-on-error
2025-11-12 14:39:41.171784,26.440677966101696,call,110.85908342011219,67.92585738876453,0.0,retry-on-error
2025-11-12 14:39:42.188733,27.457627118644066,call,111.95811453966787,69.81510794099567,0.0,retry-on-error
2025-11-12 14:39:43.205682,28.47457627118644,call,109.14513340947678,66.50143293714235,0.0,retry-on-error
2025-11-12 14:39:44.222631,29.491525423728813,call,110.65695869540438,69.97260245364103,0.0,retry-on-error
2025-11-12 14:39:45.239581,30.508474576271183,call,107.02248560175454,70.15114409338771,0.0,retry-on-error
2025-11-12 14:39:46.256530,31.525423728813557,call,106.38071692204451,67.21164321172557,0.0,retry-on-error
2025-11-12 14:39:47.273479,32.54237288135593,call,110.99825460312398,71.71587496430543,0.0,retry-on-error
2025-11-12 14:39:48.290428,33.559322033898304,call,107.08159766945072,68.65204865921226,0.0,retry-on-error
2025-11-12 14:39:49.307377,34.57627118644068,call,118.39383180662824,71.54306484631002,0.0,retry-on-error
2025-11-12 14:39:50.324326,35.59322033898305,call,112.05624255787927,72.74040503281896,0.0,retry-on-error
2025-11-12 14:39:51.341275,36.610169491525426,call,111.6747624571689,71.76571840599759,0.0,retry-on-error
2025-11-12 14:39:52.358225,37.62711864406779,call,111.95435601796525,68.83656463742145,0.0,retry-on-error
2025-11-12 14:39:53.375174,38.644067796610166,call,117.83592209565353,67.33530643409797,0.0,retry-on-error
2025-11-12 14:39:54.392123,39.66101694915254,call,101.06619316832088,67.7816463110039,0.0,retry-on-error
2025-11-12 14:39:55.409072,40.67796610169491,call,114.61297072809903,72.60974082163617,0.0,retry-on-error
2025-11-12 14:39:56.426021,41.69491525423729,call,110.9894496657895,72.93461561258924,0.0,retry-on-error
2025-11-12 14:39:57.442970,42.71186440677966,call,115.3951223096955,69.54243622956717,0.0,retry-on-error
2025-11-12 14:39:58.459920,43.728813559322035,call,110.32160323272386,72.39706644443766,0.0,retry-on-error
2025-11-12 14:39:59.476869,44.7457627118644,call,111.64464538729139,69.08979793764331,0.0,retry-on-error
2025-11-12 14:40:00.493818,45.762711864406775,call,109.1332765871408,71.79500162122199,0.0,retry-on-error
2025-11-12 14:40:01.510767,46.77966101694915,call,109.8421976303928,68.39693151491709,0.0,retry-on-error
2025-11-12 14:40:02.527716,47.79661016949152,call,113.45870445287828,69.6882049476266,0.0,retry-on-error
2025-11-12 14:40:03.544665,48.813559322033896,call,112.98942942509218,68.78592215967036,0.0,retry-on-error
